Treatment,Dose,Erratic.swimming,Thrashing,FreezingN,FreezingS,Squares,Time.Top,Time.Bottom
CTRL,0,4,65,6,133.714,127,5.161,352.601
CTRL,0,0,72,1,4.742,159,5.809,354.191
CTRL,0,0,36,1,325.11,48,12.74,347.26
CTRL,0,0,28,9,205.88,97,10.1,349.9
CTRL,0,1,98,9,143.083,68,10.311,349.689
CTRL,0,5,55,3,160.549,87,25.16,334.84
CTRL,0,0,0,3,301.219,14,9.953,350.047
CTRL,0,2,50,3,283.465,67,12.96,347.04
CTRL,0,0,90,1,101.61,135,0,360
CTRL,0,2,34,0,0,123,3.877,335.213
CTRL,50,0,37,3,298.516,90,10.867,349.133
CTRL,50,0,26,9,62.289,105,1.113,358.184
CTRL,50,0,138,0,0,344,11.038,348.962
CTRL,50,0,6,2,349.631,14,31.051,328.949
CTRL,50,11,8,7,251.219,156,0.79,355.656
CTRL,50,0,51,2,42.267,229,20.972,339.028
CTRL,50,3,60,1,105.864,71,2.383,357.617
CTRL,50,0,134,0,0,17,0,360
CTRL,50,0,39,7,217.801,112,1.021,358.979
CTRL,50,13,81,3,155.252,156,0,360
WD,0,0,25,2,269.781,103,1.243,357.508
WD,0,5,1,1,351.156,22,0.879,358.984
WD,0,5,26,2,315.139,90,0.842,358.893
WD,0,14,94,4,92.746,309,1.145,357.819
WD,0,5,0,1,163.471,88,0.919,357.555
WD,0,3,47,1,257.545,221,0.871,357.356
WD,0,5,65,3,279.558,139,1.202,356.841
WD,0,0,0,1,360,88,1.286,357.379
WD,0,7,59,2,183.55,137,0.921,358.125
WD,0,12,116,4,185.029,261,1.243,358.757
WD,50,0,60,15,39.777,194,20.9,339.1
WD,50,4,51,6,247.856,137,13.661,346.339
WD,50,0,26,11,77.77,119,25.778,334.222
WD,50,0,98,3,96.438,145,22.885,337.115
WD,50,0,0,9,356.262,5,11.804,348.196
WD,50,0,26,0,0,163,20.72,339.28
WD,50,1,49,4,129.322,59,9.947,350.053
WD,50,0,23,8,118.861,218,15.739,344.261
WD,50,0,6,8,250.127,119,6.932,353.068
WD,50,0,26,6,101.968,164,26.796,333.204
WD,50,0,16,6,44.244,191,25.739,334.261
WD,50,0,51,15,111.707,162,6.722,353.278
